,Marca,Valor
74,Xiaomi Redmi Note 10S Dual SIM 64 GB branco 6 GB RAM,R$1.600
75,Poco X3 Pro 128gb 6gb Ram  Phantom Black Global C/nf Originl,R$1.929
76,Smartphone Motorola G20 Tela 6.5 64gb 4gb Ram Azul,R$1.699
77,Infinity W201 Dual SIM 32 MB preto/vermelho 32 MB RAM,R$99
78,"Smartphone K41s 4g Tela 6,55 32gb Preto 3gb Ram LG",R$1.299
79,Xiaomi Redmi Note 10 Pro (Global) Dual SIM 128 GB bronze 6 GB RAM,R$2.238
80,Celular Samsung Galaxy A32 6.4  Dual 128gb 4gb Ram Branco,R$1.394
81,Xiaomi Redmi 9i Dual SIM 128 GB nature green 4 GB RAM,R$1.279
82,Samsung Galaxy A02s Dual SIM 32 GB preto 3 GB RAM,R$888
83,Celular Samsung Galaxy A32 6.4  Dual 128gb 4gb Ram Violeta,R$1.495
84,Philco Hit Max PCS02 Dual SIM 128 GB cinza-espacial 4 GB RAM,"R$964,90"
85,iPhone 7 Plus 128 GB ouro rosa,R$2.560
86,BLU Max Dual SIM 8 GB ouro rosa 1 GB RAM,"R$399,90"
87,DL YC-110 Dual SIM 24 MB preto 24 MB RAM,"R$179,80"
88,Smartphone Motorola Moto E7 Tela 6.5 32gb 2gb Ram Cinza ,R$767
89, iPhone 7 128 GB dourado,R$1.519
90,Realme 8 5G Dual SIM 128 GB supersonic blue 8 GB RAM,"R$1.788,88"
91,Realme 7 Pro Dual SIM 128 GB mirror silver 8 GB RAM,R$1.999
92,Celular Realme 8 5g 128gb 8gb Ram Versão Global 5000mah,"R$1.799,99"
93,Apple iPhone XR 128 GB - Preto,R$3.630
94,"Smartphone K22 Tela 6,2 32gb 2gb Ram Android Vermelho LG",R$999
95,Smartphone Moto G30 6.5'' 128gb 4gb Ram White Lilac Motorola,R$1.899
96,Realme 8 Pro Dual SIM 128 GB infinite blue 6 GB RAM,R$1.814
97,LG B220A Dual SIM 32 MB preto 32 MB RAM,"R$118,98"
98,Nokia Asha 302 256 MB white 128 MB RAM,R$299
99,BLU Tank II Dual SIM 24 MB preto/azul 32 MB RAM,"R$169,98"
100,Multilaser F Dual SIM 16 GB café 1 GB RAM,R$454
101,iPhone 7 Plus 32 GB preto-fosco,R$2.094
102,"iPhone 11 Apple 6,1'' 128gb 12mp Preto",R$6.199
103,"Smartphone Samsung Galaxy A72 6,7'' 128gb 6gb Ram Branco",R$2.299
104,Smartphone Galaxy M32 6.4'' 128gb 6gb Ram Azul Samsung,R$2.399
105, Moto G30 128 GB dark prism 4 GB RAM,R$1.420
106, Moto E4 Plus Dual SIM 16 GB cinza-escuro 2 GB RAM,"R$677,06"
107, Moto G (3rd Gen.) Dual SIM 16 GB preto 1 GB RAM,R$578
108,Positivo Twist 3 S513 Dual SIM 32 GB preto 1 GB RAM,R$466
109,Huawei Nova 5t 128 GB  crush blue 8 GB RAM,R$2.696
110,Samsung Galaxy S20 Dual SIM 128 GB cosmic gray 8 GB RAM,R$3.499
111,Multilaser Flip Vita Dual SIM 32 MB dourado 32 MB RAM,R$166
112,Multilaser F Dual SIM 16 GB café 1 GB RAM,R$454
113,Realme 7 Dual SIM 128 GB prateado-espelhado 8 GB RAM,R$1.632
114,Xiaomi Redmi Note 10 64gb 4gb Ram Global Verde Nf,R$1.519
115,Celular Motorola Moto E7 Dual 6.5 Hd+ 32gb 2gb Ram Cinza,R$768
116,Smartphone Samsung Galaxy A03s 64gb 4gb Ram Octa Core Preto,R$948
117,Xiaomi Poco X3 Pro Dual Sim 256 Gb Phantom Black 8 Gb Ram,R$2.157
118,Celular Motorola Moto E7 Dual 6.5  Hd+ 64gb 4gb Ram Cobre,R$913
119, Moto E6s Dual SIM 64 GB rich cranberry 4 GB RAM,R$997
120, iPhone 8 64 GB dourado,R$1.720
121, iPhone 6s 128 GB ouro rosa,R$1.550
122,Apple iPhone XR 64 GB - Preto,R$3.147
123,Celular Motorola Moto E7 Xt2095 6.5  Dual 64gb 4gb Ram Cinza,R$927
124,Smartphone Motorola Moto E7 64gb Camera Dupla Cinza Metalico,R$1.199
125,Samsung Galaxy A12 Dual SIM 128 GB black 4 GB RAM,R$1.390
126,Umidigi Bison Dual SIM 128 GB cyber yellow 6 GB RAM,R$1.379
127,Smartphone Motorola E7 Power 32gb Camera Dup. Vermelho Coral,R$1.049
128,CAT S52 64 GB preto 4 GB RAM,R$1.970
129,Smartphone Motorola G20 Tela 6.5 64gb 4gb Ram Pink,R$1.699
130, Moto G 5G 128 GB preto-prisma 6 GB RAM,R$1.840
131,Realme 6 Pro Dual SIM 128 GB azul-raio 8 GB RAM,R$1.614
132,Samsung Galaxy S20 FE Dual SIM 256 GB cloud white 8 GB RAM,R$3.000
133,Celular Smartphone Realme C11 Dual Sim Global  Tela 6.5 Pol,R$699
134,Xiaomi Poco F3 5G Dual SIM 128 GB branco 6 GB RAM,R$2.649
135, iPhone 7 256 GB preto-fosco,R$2.086
136,Samsung Galaxy S21+ 5G Dual SIM 256 GB prata 8 GB RAM,R$5.390
137,Xiaomi Poco X3 Pro 256gb 8gb Ram Global Metal Bronze Lacrado,R$2.249
138,Xiaomi Mi A1 Special Edition Red Dual SIM 64 GB vermelho 4 GB RAM,R$929
139,Xiaomi Redmi 9 (India) Dual SIM 64 GB sporty orange 4 GB RAM,R$1.018
140,Nokia Cseries C2-01 43 MB preto 64 MB RAM,R$360
141,Samsung Galaxy A20s Dual SIM 32 GB preto 3 GB RAM,R$1.387
142,Multilaser Zapp Dual SIM 512 MB preto 256 MB RAM,R$207
143,Xiaomi Mi 10 Lite Dual SIM 128 GB cosmic gray 6 GB RAM,R$1.990
144,Xiaomi Redmi 9C 64 GB  sunrise orange 3 GB RAM,R$1.079
145,LG K62 Dual SIM 128 GB white 4 GB RAM,R$1.465
146,Celular Samsung Galaxy M32 128gb 6gb Ram Octa Core Preto ,R$1.448
147,Xiaomi Redmi Note 10 128gb 6gb Ram Dual Sim Versão Global,R$1.799
148,LG K51S Dual SIM 64 GB titan 3 GB RAM,R$1.190
149,Xiaomi Redmi 9T Dual SIM 64 GB cinza 4 GB RAM,R$1.389
150,iPhone 8 64gb Apple Exposicao Garantia 12x Sem Juros ,R$1.949
151,Celular Nokia 110 Dual Chip 32mb 2g Desbloqueado Nk006,R$169
152,iPhone 12 128 Gb Branco Apple,R$5.781
153,Xiaomi Mi 9T Dual SIM 128 GB preto-carvão 6 GB RAM,R$2.399
154,Xiaomi Redmi Note 9 Pro (64 Mpx) Dual SIM 64 GB verde-tropical 6 GB RAM,R$1.681
155,Xiaomi Pocophone Poco C3 Dual SIM 64 GB matte black 4 GB RAM,R$1.056
156,Xiaomi Mi 11 Lite 5G Dual SIM 128 GB truffle black 6 GB RAM,R$2.552
157,"Smartphone Galaxy A12 Tela 6,5 64 Gb 4 Gb Ram Branco Samsung",R$1.799
158,"Smartphone Samsung Galaxy A52 T.l 6,5 128gb 6gb Ram Preto",R$2.085
159,Smartphone Moto G20 Tela 6.5 64gb 4gb Ram Grafite Motorola,R$1.699
160,Xiaomi Poco X3 Pro 256gb 8gb Dual 120hz Snap 860 + Nfiscal,R$2.149
161,Xiaomi Poco X3 Pro 128gb 6gb Dual 120hz Snap 860+nota Fiscal,R$1.870
162,Xiaomi Poco X3 Pro 128gb 6gb Dual 120hz Snap 860 Frost Blue ,R$1.829
163,Xiaomi Poco X3 Pro 128gb 6gb Dual Frost Blue C/ Nf Lacrado,R$1.929
164,Samsung Galaxy A02s Dual SIM 32 GB preto 3 GB RAM,R$888
165, iPhone 7 128 GB dourado,R$1.519
166,BlackBerry KEYone 32 GB preto/prata 3 GB RAM,R$1.306
167,Doogee S88 Pro Dual SIM 128 GB mineral black 6 GB RAM,R$2.488
168,Celular Samsung Galaxy M12 M127 6.5  Dual 64gb 4gb Ram Verde,R$1.142
169,Xiaomi Redmi Note 10 Verde 64gb 4gb Ram +fone + Pelicula,R$1.539
170,"Smartphone K22 Tela 6,2 32gb 2gb Ram Android Titânio LG",R$999
171,Realme 8 5G Dual SIM 128 GB supersonic blue 8 GB RAM,"R$1.788,88"
172,Multilaser Flip Vita Dual SIM 32 MB dourado 32 MB RAM,R$166
173,Smartphone Motorola Moto G10 64gb 4gbram Tela 6.5 Android 11,R$1.125
174,Samsung Galaxy A10s 32 GB vermelho 2 GB RAM,"R$981,90"
175,L8star BM70 32 MB preto 32 MB RAM,R$139
176,Samsung Galaxy J1 Mini Dual SIM 8 GB dourado 1 GB RAM,R$649
177,Alcatel 1 16 GB preto-metálico 1 GB RAM,R$498
178,Huawei Y6p Dual SIM 64 GB midnight black 3 GB RAM,R$1.110
179,Xiaomi Redmi Note 8 Dual Sim 64 Gb Azul 4 Gb Ram + Nf,R$1.296
180,Xiaomi Mi A3 Dual SIM 64 GB azulón 4 GB RAM,R$1.259
181,Apple iPhone 11 (128 Gb) - Branco,R$6.199
182,Xiaomi Mi 10T Lite 5G Dual SIM 64 GB rose gold beach 6 GB RAM,R$1.840
183,iPhone XR 64 Gb Preto Apple ,R$4.999
184, Moto C Plus Dual SIM 16 GB ouro-fino 1 GB RAM,R$612
185,Smartphone Motorola G60 Tela 6.8 128gb 6gb Ram Azul,R$2.699
186,Samsung Galaxy S20 128 GB cosmic gray 8 GB RAM,R$3.560
187,Smartphone Poco X3 Pro 128gb 6gb Ram  Phantom Black Com Nf-e,R$1.829
188,Multilaser F Pro Dual SIM 16 GB preto 1 GB RAM,R$459
189,"Smartphone Samsung Galaxy A32 6,4'' 128gb 4gb Ram Violeta",R$2.399
190,Xiaomi Mi 11 Lite Dual SIM 64 GB bubblegum blue 6 GB RAM,R$2.049
191,Xiaomi Redmi 9 Prime Dual SIM 64 GB mint green 4 GB RAM,R$1.097
192,Multilaser G Dual SIM 16 GB preto 1 GB RAM,"R$547,99"
193,Celular Xiaomi Redmi 9a 32gb 2gb Ram Dual Sim Global,"R$829,90"
194,Samsung Galaxy S21 5G 128 GB rosa 8 GB RAM,R$4.982
195, Moto G7 Dual SIM 64 GB ônix 4 GB RAM,R$1.024
196,"Smartphone Nokia  5.4 Nk025 Tela 6,39 128gb 4gb Ram - Azul",R$1.899
197,Smartphone Samsung Galaxy A32 Dual Sim 128gb 4gb Ram Preto,R$1.999
198,Xiaomi Redmi Note 10 64gb 4gb Ram Global Verde Nf,R$1.591
199,Smartphone Galaxy A03s 6.5'' 64gb 4gb Ram Vermelho Samsung,R$1.499
200,Xiaomi Redmi Note 10 128gb 6gb Ram Dual Global Nf,R$1.799
201,"Smartphone LG K52 4g Tela 6,59 64 Gb 3gb Ram Vermelho",R$1.499
202,Smartphone Samsung Galaxy A22 Tela 6.4 128gb 4 Gb Ram Branco,R$1.899
203,Nokia 2.4 Dual SIM 64 GB crepúsculo 3 GB RAM,R$962
204, iPhone 6s 32 GB cinza-espacial,R$999
205,Samsung Galaxy A02s Dual SIM 32 GB preto 3 GB RAM,R$888
206,Multilaser Flip Vita Dual SIM 32 MB dourado 32 MB RAM,R$166
207,Multilaser Up 3G Dual SIM 128 MB preto 64 MB RAM,R$199
208,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black 4 GB RAM,R$1.510
209,Samsung Galaxy A32 5G Dual SIM 128 GB preto 4 GB RAM,R$1.771
210,Kit Obasmart3 Dourado Obabox 32gb+ Fone + Película + Capinha,"R$947,50"
211, Xiaomi Poco X3 Pro 128 Gb 6 Gb Ram Metal Bronze Lacrado,R$1.909
212,Realme 8 5G Dual SIM 128 GB supersonic blue 8 GB RAM,"R$1.788,88"
213,Multilaser F Dual SIM 16 GB café 1 GB RAM,R$454
214,Umidigi A9 Pro (48 Mpx) Dual SIM 128 GB onyx black 6 GB RAM,R$1.272
215,Smartphone Samsung Galaxy A02 Dual Sim 32 Gb Azul 2 Gb Ram,R$799
216,"Smartphone Samsung Galaxy S21 Plus 5g Tela 6,7 128gb 8gb Ram",R$6.999
217,Apple iPhone 12 Pro Max (128 GB) - Azul-pacífico,R$8.299
